artifact_id,claim_id,description,analysis_profile,source_pipeline,public_target,path,table_filter,figure_destination,validation_status
revision_study_overview,study_scope,Study overview and analytical workflow,overview,01_data_preparation/11_figures/pipeline.R,file_study_overview,Outputs/Figures/Overview/study__overview.png,not_applicable,figures/figure-01-study-overview.png,registered
revision_h1_spatial_figure,h1_spatial,Time- and space-controlled spatial H1 balance,spd_spatiotemporal_balance,02_h1_spatiotemporal_hvarpart/05_spatial_aggregation/spd_human_climate_balance/pipeline.R,file_spatial_balance_figure,Outputs/Figures/H1/Spatial/SPD/spd__human_climate_balance__zero_truncated_hierarchical_composition__time_and_space_control.png,not_applicable,figures/figure-03-h1-spatial-controlled.png,registered
revision_h1_temporal_figure,h1_temporal,Spatially controlled temporal H1 composition,time_slice_spd_spatial_control,02_h1_spatiotemporal_hvarpart/04_spatial_control/spd/pipeline.R,file_temporal_composition_figure,Outputs/Figures/H1/Temporal/HVarPart/spd_events__human_climate_space__zero_truncated_hierarchical_composition__space_control.png,not_applicable,figures/figure-04-h1-temporal-controlled.png,registered
revision_h2_figure,h2_interrelationships,H2 PAP interrelationships,h2_interrelationships,05_h2_interrelationships/pipeline.R,file_predictor_interrelationships,Outputs/Figures/H2/Interrelationships/predictor_interrelationships.png,not_applicable,figures/supplementary-figure-01-h2-interrelationships.png,registered
revision_pollen_retention_table,pollen_retention,Pollen filtering retention and coverage trade-offs,pollen_threshold_diagnostic,01_data_preparation/pollen_thresholds/pipeline.R,file_pollen_retention_overall,Outputs/Tables/Dataset_summaries/Pollen/pollen__threshold_retention__overall.csv,all threshold profiles,,registered
revision_pap_predictions_table,pap_trajectories,Record-level PAP posterior predictions,pap_temporal,03_temporal_models/06_exports/pipeline.R,file_pap_temporal_predictions,Outputs/Tables/H1/Temporal/PAP_trends/pap__temporal_predictions.csv,analysis equals pap_temporal,,registered
revision_pap_trends_table,pap_trajectories,Equal-weighted PAP summaries by region and climate zone,pap_temporal,03_temporal_models/07_summaries/pipeline.R,file_pap_temporal_trends,Outputs/Tables/H1/Temporal/PAP_trends/pap__temporal_trends__region_and_climate_zone.csv,all ten PAPs and observed coverage,,registered
revision_hvarpart_profiles,hvarpart_profiles,Signed zero-truncated and exclude-negative HVarPart profiles,hvarpart_diagnostics,90_diagnostics/hvarpart/pipeline.R,file_hvarpart_profile_comparison,Outputs/Tables/Diagnostics/HVarPart/hvarpart__profile_comparison.csv,all profiles and analysis groups,,registered
revision_hvarpart_variance,hvarpart_fit,Total adjusted R2 and decomposition inventory,hvarpart_diagnostics,90_diagnostics/hvarpart/pipeline.R,file_hvarpart_variance_summary,Outputs/Tables/Diagnostics/HVarPart/hvarpart__variance_summary__overall.csv,all complete decompositions,,registered
revision_hvarpart_models,hvarpart_fit,Model-level adjusted R2 and decomposition components,hvarpart_diagnostics,90_diagnostics/hvarpart/pipeline.R,file_hvarpart_models,Outputs/Tables/Diagnostics/HVarPart/hvarpart__variance_decomposition__models.csv,complete models only,,registered
revision_h1_spatial_values,h1_spatial,Controlled spatial H1 dataset values,spd_spatiotemporal_balance,02_h1_spatiotemporal_hvarpart/05_spatial_aggregation/spd_human_climate_balance/pipeline.R,file_spatial_balance_values,Outputs/Tables/H1/Spatial/SPD/spd__human_climate_balance__dataset_values__time_and_space_control.csv,eligible controlled records,,registered
revision_h1_temporal_values,h1_temporal,Controlled temporal H1 region-age values,time_slice_spd_spatial_control,02_h1_spatiotemporal_hvarpart/04_spatial_control/spd/pipeline.R,file_temporal_composition_values,Outputs/Tables/H1/Temporal/HVarPart/spd_events__human_climate_space__zero_truncated_hierarchical_composition__space_control.csv,SPD predictor and estimable rows,,registered
